11:19:50 - Info   :    Caching database...
11:19:50 - Info   :        Clearing Tables...
11:19:50 - Info   :    Waiting for a connection... 
11:20:56 - Info   :    Connected!
11:21:11 - Warn   :    adt { A08 - Update          , 63606_102_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:11 - Warn   :    adt { A08 - Update          , 63606_103_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:11 - Warn   :    adt { A08 - Update          , 63606_104_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:11 - Warn   :    adt { A08 - Update          , 63606_106_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_107_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_108_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_109_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Info   :    adt { A03 - Discharge       , 63606_110_DA   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:12 - Warn   :    adt { A08 - Update          , 63606_112_PV   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_113_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_114_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_115_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:12 - Warn   :    adt { A08 - Update          , 63606_116_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_117_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_118_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_119_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_120_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_121_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_122_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_123_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_124_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:13 - Warn   :    adt { A08 - Update          , 63606_125_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_126_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_127_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_128_PV   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_129_FV   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_130_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_131_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_132_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_133_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_134_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:14 - Warn   :    adt { A08 - Update          , 63606_135_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Warn   :    adt { A08 - Update          , 63606_136_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Info   :    adt { A03 - Discharge       , 63606_137_DA   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:15 - Warn   :    adt { A08 - Update          , 63606_138_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Warn   :    adt { A08 - Update          , 63606_139_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Warn   :    adt { A08 - Update          , 63606_140_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Warn   :    adt { A08 - Update          , 63606_141_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Warn   :    adt { A08 - Update          , 63606_142_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:15 - Warn   :    adt { A08 - Update          , 63606_143_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_144_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_145_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_146_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_147_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_148_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_149_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_150_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Warn   :    adt { A08 - Update          , 63606_151_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:16 - Info   :    adt { A02 - Transfer        , 63606_152_TA1  }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:16 - Warn   :    adt { A08 - Update          , 63606_153_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_154_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_155_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_156_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_157_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_158_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_159_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_160_TA2  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:17 - Warn   :    adt { A08 - Update          , 63606_161_VI   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
